start,end,date,duration,weekday,is_weekend,day_of_year,alert_duration_category,season
05:51,08:26,2022-02-28,155,1,0,59,3,2
08:31,08:43,2022-02-28,12,1,0,59,1,2
10:51,11:10,2022-02-28,18,1,0,59,1,2
12:29,12:57,2022-02-28,28,1,0,59,1,2
13:11,13:37,2022-02-28,25,1,0,59,1,2
19:06,19:32,2022-02-28,26,1,0,59,1,2
20:50,21:45,2022-02-28,55,1,0,59,2,2
23:09,23:48,2022-02-28,38,1,0,59,2,2
02:28,02:41,2022-03-01,12,2,0,60,1,3
08:53,09:23,2022-03-01,30,2,0,60,2,3
09:29,09:53,2022-03-01,24,2,0,60,1,3
10:58,11:20,2022-03-01,22,2,0,60,1,3
12:37,13:00,2022-03-01,22,2,0,60,1,3
15:42,15:45,2022-03-01,2,2,0,60,1,3
16:21,16:33,2022-03-01,12,2,0,60,1,3
17:08,18:25,2022-03-01,76,2,0,60,2,3
22:04,23:49,2022-03-01,104,2,0,60,3,3
07:33,08:28,2022-03-02,55,3,0,61,2,3
10:18,10:53,2022-03-02,35,3,0,61,2,3
12:35,12:56,2022-03-02,20,3,0,61,1,3
12:57,14:34,2022-03-02,97,3,0,61,3,3
16:15,16:28,2022-03-02,13,3,0,61,1,3
20:57,21:24,2022-03-02,26,3,0,61,1,3
22:17,23:15,2022-03-02,57,3,0,61,2,3
01:47,02:37,2022-03-03,50,4,0,62,2,3
04:27,07:16,2022-03-03,169,4,0,62,3,3
08:41,11:10,2022-03-03,148,4,0,62,3,3
17:59,18:19,2022-03-03,19,4,0,62,1,3
21:52,23:52,2022-03-03,119,4,0,62,3,3
02:32,03:00,2022-03-04,28,5,0,63,1,3
09:51,10:09,2022-03-04,18,5,0,63,1,3
10:30,12:10,2022-03-04,99,5,0,63,3,3
15:16,17:00,2022-03-04,103,5,0,63,3,3
18:03,19:36,2022-03-04,92,5,0,63,3,3
20:57,21:30,2022-03-04,32,5,0,63,2,3
06:55,08:43,2022-03-05,107,6,1,64,3,3
09:18,11:09,2022-03-05,111,6,1,64,3,3
11:13,11:55,2022-03-05,42,6,1,64,2,3
17:46,17:46,2022-03-05,0,6,1,64,1,3
17:51,18:00,2022-03-05,9,6,1,64,1,3
23:38,00:21,2022-03-05,42,6,1,64,2,3
01:56,03:19,2022-03-06,83,7,1,65,2,3
10:25,10:51,2022-03-06,26,7,1,65,1,3
10:57,11:48,2022-03-06,51,7,1,65,2,3
12:12,13:54,2022-03-06,102,7,1,65,3,3
20:00,21:56,2022-03-06,116,7,1,65,3,3
23:50,01:21,2022-03-06,91,7,1,65,3,3
07:33,08:11,2022-03-07,38,1,0,66,2,3
14:50,18:23,2022-03-07,212,1,0,66,3,3
19:50,21:13,2022-03-07,83,1,0,66,2,3
11:38,12:12,2022-03-08,33,2,0,67,2,3
15:37,16:25,2022-03-08,48,2,0,67,2,3
22:54,23:20,2022-03-08,26,2,0,67,1,3
00:07,00:39,2022-03-09,31,3,0,68,2,3
06:01,06:21,2022-03-09,20,3,0,68,1,3
08:46,09:23,2022-03-09,36,3,0,68,2,3
10:32,11:06,2022-03-09,33,3,0,68,2,3
12:42,13:36,2022-03-09,54,3,0,68,2,3
13:43,14:13,2022-03-09,30,3,0,68,2,3
15:47,16:39,2022-03-09,51,3,0,68,2,3
18:48,20:07,2022-03-09,78,3,0,68,2,3
20:41,21:08,2022-03-09,26,3,0,68,1,3
23:52,01:28,2022-03-09,95,3,0,68,3,3
04:23,07:45,2022-03-10,202,4,0,69,3,3
08:40,09:31,2022-03-10,51,4,0,69,2,3
12:51,13:52,2022-03-10,61,4,0,69,2,3
14:02,15:09,2022-03-10,66,4,0,69,2,3
23:06,00:26,2022-03-10,79,4,0,69,2,3
02:28,02:53,2022-03-11,25,5,0,70,1,3
03:48,07:57,2022-03-11,248,5,0,70,3,3
09:00,10:05,2022-03-11,65,5,0,70,2,3
10:58,12:29,2022-03-11,90,5,0,70,2,3
13:21,14:56,2022-03-11,94,5,0,70,3,3
16:02,16:31,2022-03-11,28,5,0,70,1,3
18:58,20:17,2022-03-11,78,5,0,70,2,3
21:15,21:36,2022-03-11,21,5,0,70,1,3
23:07,00:11,2022-03-11,63,5,0,70,2,3
02:45,04:23,2022-03-12,98,6,1,71,3,3
05:21,08:07,2022-03-12,165,6,1,71,3,3
14:23,14:47,2022-03-12,23,6,1,71,1,3
15:52,16:42,2022-03-12,50,6,1,71,2,3
03:30,06:32,2022-03-13,181,7,1,72,3,3
10:59,12:23,2022-03-13,84,7,1,72,2,3
14:29,15:50,2022-03-13,81,7,1,72,2,3
17:03,17:34,2022-03-13,30,7,1,72,2,3
18:19,21:15,2022-03-13,176,7,1,72,3,3
04:09,07:38,2022-03-14,209,1,0,73,3,3
11:26,13:02,2022-03-14,95,1,0,73,3,3
16:33,16:57,2022-03-14,24,1,0,73,1,3
